ITEM: TIMESTEP
13225
ITEM: NUMBER OF ATOMS
2927
ITEM: BOX BOUNDS pp pp pp
-2.0174776239694991e+00 1.3559208562396901e+02
1.7541432723851027e-02 2.2244893567276108e+01
7.8240202608196047e-03 1.0552175979739211e+01
ITEM: ATOMS id type x y z c_eng
218 1 5.26044 11.7449 2.08989 -4.40473
219 1 6.90863 11.1578 0.332502 -4.45234
221 1 9.14241 12.2532 0.332502 -4.4506
222 1 8.58264 10.5907 2.08989 -4.45011
223 1 10.2576 10.0216 0.332502 -4.45017
224 1 10.8158 11.6839 2.08989 -4.45
225 1 12.4902 11.1146 0.332502 -4.44989
227 1 14.1647 10.5451 2.08989 -4.44974
229 1 14.7226 12.2075 0.332502 -4.44984
228 1 15.8388 9.9755 0.332502 -4.44981
230 1 16.3968 11.6379 2.08989 -4.4498
231 1 18.0709 11.0684 0.332502 -4.44981
233 1 19.7451 10.4988 2.08989 -4.44982
234 1 20.3031 12.1612 0.332502 -4.44981
235 1 21.4192 9.92923 0.332502 -4.44982
236 1 21.9773 11.5917 2.08989 -4.44981
237 1 23.6514 11.0221 0.332502 -4.44981
238 1 24.2094 12.6845 2.08989 -4.44981
239 1 25.3255 10.4525 2.08989 -4.44981
240 1 25.8836 12.115 0.332502 -4.44981
241 1 26.9997 9.88297 0.332502 -4.44981
242 1 27.5577 11.5454 2.08989 -4.44981
243 1 29.2319 10.9758 0.332502 -4.44981
244 1 29.7899 12.6383 2.08989 -4.44981
245 1 30.906 10.4063 2.08989 -4.44981
246 1 31.464 12.0687 0.332502 -4.44981
247 1 32.5801 9.83671 0.332502 -4.44981
248 1 33.1382 11.4991 2.08989 -4.44981
249 1 34.8123 10.9296 0.332502 -4.44981
251 1 35.3703 12.592 2.08989 -4.44981
250 1 36.4865 10.36 2.08989 -4.44981
252 1 37.0445 12.0224 0.332502 -4.44981
253 1 38.1607 9.79047 0.332502 -4.44981
254 1 38.7187 11.4529 2.08989 -4.44981
255 1 40.3929 10.8833 0.332502 -4.44981
258 1 40.9509 12.5457 2.08989 -4.44981
256 1 42.6251 11.9762 0.332502 -4.44981
257 1 42.0671 10.3138 2.08989 -4.44981
259 1 43.7413 9.74429 0.332502 -4.44981
260 1 44.2993 11.4067 2.08989 -4.44981
261 1 45.9736 10.8372 0.332502 -4.44981
262 1 46.5315 12.4995 2.0899 -4.44981
264 1 47.6479 10.2677 2.08989 -4.44982
263 1 48.2058 11.93 0.332502 -4.4498
193 1 49.3222 9.69822 0.332502 -4.44983
265 1 49.8802 11.3606 2.08989 -4.44981
266 1 51.5546 10.7912 0.332502 -4.44985
267 1 52.1125 12.4535 2.08987 -4.44979
268 1 53.2289 10.2218 2.08984 -4.4499
269 1 53.7871 11.8843 0.332502 -4.44989
199 1 54.9029 9.65232 0.332502 -4.44983
270 1 55.4617 11.3152 2.08968 -4.45005
271 1 57.1353 10.7457 0.332502 -4.44979
272 1 57.6954 12.4091 2.08921 -4.45053
273 1 58.8081 10.1757 2.08946 -4.44941
274 1 59.3682 11.8397 0.332502 -4.4497
203 1 60.4833 9.6061 0.332502 -4.44962
275 1 61.0385 11.2685 2.08839 -4.44659
276 1 62.7148 10.7001 0.332502 -4.43439
277 1 63.2643 12.3596 2.08632 -4.41121
278 1 64.972 11.7858 0.332502 -4.239
279 1 64.412 10.1414 2.08584 -4.33524
209 1 66.0288 9.60323 0.332502 -4.20835
2585 1 68.1711 10.7104 0.332502 -4.22136
1676 1 68.6684 12.3311 2.08721 -4.28337
1609 1 69.8792 10.1122 2.07291 -4.31378
2654 1 70.4552 11.8038 0.332502 -4.34678
1612 1 71.9695 11.1842 2.09172 -4.14941
1614 1 74.0583 10.0149 2.08956 -4.36614
2657 1 73.5141 11.6792 0.332502 -4.34577
1683 1 75.2238 12.2241 2.0891 -4.40907
2590 1 75.7546 10.568 0.332502 -4.44309
1617 1 77.4371 11.1105 2.08939 -4.44554
1620 1 79.6617 9.98819 2.08978 -4.44901
2663 1 79.1032 11.6599 0.332502 -4.45041
1690 1 80.774 12.2054 2.08992 -4.44999
2596 1 81.3317 10.535 0.332502 -4.44991
1623 1 83.0028 11.081 2.08992 -4.44989
2668 1 84.6743 11.6269 0.332502 -4.44983
1626 1 85.2312 9.95685 2.08991 -4.44984
1695 1 86.3457 12.173 2.0899 -4.4498
2603 1 86.9026 10.5029 0.332502 -4.44983
1630 1 88.5739 11.049 2.0899 -4.44981
2674 1 90.2452 11.5952 0.332502 -4.44982
1631 1 90.8021 9.92507 2.08989 -4.44982
1701 1 91.9164 12.1414 2.08989 -4.44982
2607 1 92.4734 10.4713 0.332502 -4.44982
1635 1 94.1446 11.0175 2.08989 -4.44982
2679 1 93.5876 12.6876 0.332502 -4.44982
1636 1 96.3727 9.89351 2.08989 -4.44982
2681 1 95.8158 11.5637 0.332502 -4.44982
1707 1 97.4869 12.1099 2.08989 -4.44982
2612 1 98.0439 10.4397 0.332502 -4.44982
2685 1 99.158 12.6562 0.332502 -4.44982
1639 1 99.715 10.986 2.08989 -4.44982
1641 1 101.943 9.86201 2.08989 -4.44982
